"pid","location","city","state","zip"
1,"51 SOUTH END RD","New Haven","CT",""
2,"75 SOUTH END RD","New Haven","CT",""
3,"199 SOUTH END RD","New Haven","CT",""
4,"11 URIAH ST","New Haven","CT",""
5,"181 SOUTH END RD","New Haven","CT",""
6,"169 SOUTH END RD","New Haven","CT",""
7,"173 SOUTH END RD","New Haven","CT",""
8,"165 SOUTH END RD","New Haven","CT",""
9,"161 SOUTH END RD","New Haven","CT",""
10,"157 SOUTH END RD","New Haven","CT",""
11,"153 SOUTH END RD","New Haven","CT",""
12,"SOUTH END RD","New Haven","CT",""
13,"107 SOUTH END RD","New Haven","CT",""
14,"101 SOUTH END RD","New Haven","CT",""
15,"95 SOUTH END RD","New Haven","CT",""
16,"SOUTH END RD","New Haven","CT",""
17,"91 SOUTH END RD","New Haven","CT",""
18,"103 SOUTH END RD","New Haven","CT",""
19,"SOUTH END RD","New Haven","CT",""
20,"URIAH ST","New Haven","CT",""
21,"SOUTH END RD","New Haven","CT",""
22,"SOUTH END RD","New Haven","CT",""
23,"5 DOUGLASS AV","New Haven","CT",""
24,"11 DOUGLASS AV","New Haven","CT",""
25,"17 DOUGLASS AV","New Haven","CT",""
26,"23 DOUGLASS AV","New Haven","CT",""
27,"29 DOUGLASS AV","New Haven","CT",""
28,"32 URIAH ST","New Haven","CT",""
29,"24 URIAH ST","New Haven","CT",""
30,"20 URIAH ST","New Haven","CT",""
31,"1 TOWNSEND AV","New Haven","CT",""
32,"1 TOWNSEND AV #A","New Haven","CT",""
33,"1 TOWNSEND AV #B","New Haven","CT",""
34,"9 TOWNSEND AV","New Haven","CT",""
35,"17 JOHNSTON ST","New Haven","CT",""
36,"30 DOUGLASS AV","New Haven","CT",""
37,"24 DOUGLASS AV","New Haven","CT",""
38,"20 DOUGLASS AV","New Haven","CT",""
39,"3 TOWNSEND AV","New Haven","CT",""
40,"3A TOWNSEND AV","New Haven","CT",""
41,"5 TOWNSEND AV","New Haven","CT",""
42,"7 TOWNSEND AV","New Haven","CT",""
43,"MORRIS CSWY","New Haven","CT",""
44,"URIAH ST","New Haven","CT",""
45,"MORRIS CSWY","New Haven","CT",""
46,"25 TOWNSEND AV","New Haven","CT",""
47,"19 MORRIS CSWY","New Haven","CT",""
48,"25 MORRIS CSWY","New Haven","CT",""
49,"31 MORRIS CSWY","New Haven","CT",""
50,"39 MORRIS CSWY","New Haven","CT",""
51,"43 MORRIS CSWY","New Haven","CT",""
52,"49 MORRIS CSWY","New Haven","CT",""
53,"11 TOWNSEND AV","New Haven","CT",""
54,"13 TOWNSEND AV","New Haven","CT",""
55,"15 TOWNSEND AV","New Haven","CT",""
56,"17 TOWNSEND AV","New Haven","CT",""
57,"19 TOWNSEND AV","New Haven","CT",""
58,"21 TOWNSEND AV","New Haven","CT",""
59,"1209 DEAN ST","New Haven","CT",""
60,"1227 DEAN ST","New Haven","CT",""
61,"1237 DEAN ST","New Haven","CT",""
62,"1251 DEAN ST","New Haven","CT",""
63,"DEAN ST","New Haven","CT",""
64,"1271 DEAN ST","New Haven","CT",""
65,"DEAN ST","New Haven","CT",""
66,"1285 DEAN ST","New Haven","CT",""
67,"1305 DEAN ST","New Haven","CT",""
68,"1327 DEAN ST","New Haven","CT",""
69,"191 BURR ST","New Haven","CT",""
70,"269 BURR ST","New Haven","CT",""
